candidate,protocol,season,subdivision,team_id,team_name,candidate_nll,c0_nll,minus_rp_nll,delta_nll_vs_c0,delta_nll_vs_minus_rp,candidate_crps,c0_crps,minus_rp_crps,transfer_in_count,transfer_in_weighted_rating_sum,transfer_in_prior_usage_sum,transfer_data_available
C2_transfer_volume,frozen_through_2021,2022,fbs,103,Boston College,5.354534654309159,4.988416435909931,4.965825873887268,0.36611821839922776,0.38870878042189094,0.26238229576184213,0.206643994241036,0.20381736735534026,4.0,1.7,0.028,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,113,Massachusetts,3.180477227582691,2.7893032468145726,2.5083673090928156,0.3911739807681185,0.6721099184898756,0.04772935331421283,0.03724497709407312,0.03110795808185426,19.0,9.3465,0.129,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,12,Arizona,4.759188572562769,4.815389729062993,4.7281651696071405,-0.05620115650022406,0.03102340295562822,0.09719084577847038,0.10662791150142535,0.09102835706973213,8.0,6.348,0.669,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,120,Maryland,4.63316005889968,4.392780878255158,4.420806291994793,0.24037918064452235,0.2123537669048874,0.1295493489609534,0.07826763987380556,0.08284895995732229,6.0,1.638,0.064,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,127,Michigan State,6.1266449858220025,5.4688832310662905,5.361289084665545,0.657761754755712,0.7653559011564575,0.2659321091947217,0.20017034485613525,0.18714874687661334,9.0,5.965,0.358,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,130,Michigan,2.901271550202573,2.3859922896652583,2.6111781452702028,0.5152792605373149,0.29009340493237046,0.04553245390716811,0.023379658688790207,0.032976878602543176,3.0,2.7,,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,135,Minnesota,4.327673892562531,4.2036802235064865,4.2536154477351005,0.12399366905604481,0.07405844482743085,0.05677624755084756,0.05131424659146073,0.06510890669733417,8.0,4.974,,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,142,Missouri,4.754048698554489,4.579346729216468,4.587484095265392,0.17470196933802118,0.16656460328909706,0.11020965407862787,0.07282925315108975,0.07017198284324724,12.0,9.419,0.166,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,145,Ole Miss,4.222780476280831,4.322629781404671,4.159111337078426,-0.09984930512383983,0.06366913920240513,0.07132502838671591,0.09159999867997352,0.047956851609339365,17.0,14.454,0.9420000000000001,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,150,Duke,6.1989150598577485,5.837661232666025,5.4392555321611,0.3612538271917236,0.7596595276966482,0.35090267035735323,0.3070415404251931,0.2507171651481136,8.0,2.042,,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,151,East Carolina,4.603914563951759,4.64426516269969,4.680113608832099,-0.04035059874793134,-0.07619904488034024,0.07195837165416347,0.0806153493008146,0.08637289452329085,14.0,5.8,0.125,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,152,NC State,4.418453421333873,4.431900367332098,4.437405336152017,-0.013446945998224713,-0.01895191481814429,0.0628178126338108,0.06071739873904767,0.06126702185181731,2.0,1.6440000000000001,0.049,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,153,North Carolina,4.484548785873518,4.486234851321755,4.497934734029796,-0.0016860654482373505,-0.01338594815627836,0.07230456322160521,0.07104542923061186,0.0691144518322679,5.0,4.193,,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,154,Wake Forest,4.322651958063137,4.328179511749721,4.351215311416391,-0.005527553686584419,-0.028563353353254328,0.05556043655975011,0.05496779020055475,0.06053764525808671,4.0,1.6179999999999999,0.024,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,158,Nebraska,4.861441069999712,4.642495518824708,4.712072074782096,0.21894555117500403,0.14936899521761582,0.14335367047285832,0.09974292553885027,0.11338621633371768,15.0,11.911999999999999,0.705,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,164,Rutgers,4.793884931291044,4.669378469260362,4.708196538626193,0.1245064620306815,0.08568839266485107,0.15533215994987787,0.13213233931741544,0.1389556583219146,7.0,6.09,0.155,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,166,New Mexico State,5.727005527586794,4.607395716687975,4.329543476020428,1.1196098108988188,1.3974620515663663,0.12580530715109237,0.08128650293465177,0.06321724734201482,9.0,5.781,0.159,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,167,New Mexico,2.9917488058477195,3.455785821490392,3.939555160903918,-0.4640370156426723,-0.9478063550561986,0.04923033244069711,0.07716239992586499,0.11116824559941274,7.0,2.0549999999999997,0.125,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,183,Syracuse,4.6226541302522515,4.6584879349693376,4.669091425539165,-0.03583380471708608,-0.046437295286913205,0.08975273190398693,0.09696136385286991,0.09796979610467463,9.0,6.554,0.07,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,189,Bowling Green,4.364013512043075,4.285289628724212,4.170527669967486,0.07872388331886349,0.1934858420755896,0.09706258025639736,0.08381871989790897,0.061509029814895255,6.0,1.5300000000000002,0.036,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,193,Miami (OH),4.443249031333408,4.585227911687744,4.583985251644074,-0.14197888035433603,-0.14073622031066613,0.10690365700398238,0.13528275325974534,0.13372554156505814,8.0,3.293,0.077,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,194,Ohio State,2.5898770705094223,2.396300047401878,2.4604517856790418,0.1935770231075442,0.12942528483038052,0.025734540120202484,0.014751388854319494,0.018076250437177577,3.0,1.638,0.148,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,195,Ohio,8.654217303632203,5.903535067410542,5.493190453364662,2.750682236221661,3.1610268502675414,0.4150001088061778,0.2586819246016297,0.21213859235240426,3.0,0.81,0.035,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,197,Oklahoma State,5.941288544153486,6.353481433263874,5.718834087792656,-0.4121928891103881,0.22245445636082994,0.21985356679735377,0.2473504127000503,0.20289179310897515,5.0,2.56,0.016,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,2,Auburn,4.676704911231736,4.577954590635438,4.619301212563397,0.09875032059629785,0.057403698668339054,0.09886205249693532,0.07274288461500691,0.07711024536804342,11.0,8.411,0.559,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,2005,Air Force,4.595465101533449,4.561264370697617,4.5725738154612925,0.03420073083583208,0.022891286072156625,0.08969092741135595,0.08035643198667346,0.08020326183007517,0.0,0.0,0.0,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,2006,Akron,2.8504856671339645,2.8181537912348706,2.9833847573931176,0.03233187589909381,-0.13289909025915314,0.02088637481968404,0.01785124830440814,0.030400577020944897,15.0,6.361,0.08,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,201,Oklahoma,5.014950294660908,4.9098768800033366,5.244291992463801,0.10507341465757136,-0.22934169780289348,0.13457539110933264,0.12401881718456424,0.15523715054605366,16.0,13.653,0.8300000000000001,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,202,Tulsa,4.462721872125566,4.478566149281558,4.485520119952212,-0.015844277155991904,-0.02279824782664619,0.06096758774579959,0.06118293514339639,0.06286537403944782,7.0,2.54,0.042,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,2026,App State,4.653306576046967,4.7192433761211605,4.867788487623464,-0.06593680007419334,-0.2144819115764971,0.0873988326882711,0.10070683937197296,0.12931274394407724,9.0,2.4000000000000004,0.637,1.0
C2_transfer_volume,frozen_through_2021,2022,fbs,2032,Arkansas State,3.7547570239137977,3.570637197270325,3.820093353139459,0.1841198266434727,-0.06533632922566124,0.03290238004614464,0.03987023217210579,0.07534486265633439,11.0,4.058,0.184,1.0
