team_id,team_name,subdivision,conference,record_through_cutoff,movement_from_previous,expected_rank,median_rank,interval_80_low,interval_80_high,top5_probability,top10_probability,top25_probability,display_rank
194,Ohio State,fbs,,,,5.975176200513419,4.0,1.0,13.0,0.64597052041834,0.8529179087631965,0.9790143716797934,1
2483,Oregon,fbs,,,,8.027244029561,5.0,1.0,18.0,0.557688957826,0.772768054338,0.945797434616,2
61,Georgia,fbs,,,,10.193041949971773,6.0,2.0,23.0,0.4486449128097946,0.6878436741497514,0.9149920850906599,3
2390,Miami,fbs,,,,10.514916434176154,7.0,2.0,23.0,0.3838469356601192,0.6561432311448343,0.9215632273399312,4
333,Alabama,fbs,,,,12.368817456468086,9.0,3.0,27.0,0.3044807892644624,0.5785229561267471,0.8903890394079778,5
84,Indiana,fbs,,,,13.508047625683549,9.0,3.0,30.0,0.3088728446945179,0.5572262142500208,0.8602185829578608,6
201,Oklahoma,fbs,,,,14.608462533854075,11.0,3.0,31.0,0.23902403189457228,0.4967707468130024,0.845007877824453,7
87,Notre Dame,fbs,,,,15.778316386139226,10.0,3.0,37.0,0.2962978554733704,0.5200741141351606,0.8117145623174936,8
251,Texas,fbs,,,,16.398474982059803,11.0,3.0,38.0,0.26745172697719766,0.4938767121455185,0.8012674048785964,9
30,USC,fbs,,,,16.735327426955482,13.0,4.0,36.0,0.18978555988955675,0.4237507650960322,0.7989480097121946,10
245,Texas A&M,fbs,,,,20.25596719149577,14.0,4.0,47.0,0.193665229662581,0.3981054416721943,0.7271217374321813,11
2641,Texas Tech,fbs,,,,22.04215520029888,15.0,4.0,51.0,0.1728000518574816,0.36463250632390615,0.6930922265209208,12
130,Michigan,fbs,,,,22.682039904595094,16.0,4.0,51.0,0.15414686092892488,0.342827632593057,0.6801761098830811,13
254,Utah,fbs,,,,23.17561417859285,17.0,5.0,51.0,0.12014038148251822,0.30420383327562633,0.6687759220749492,14
145,Ole Miss,fbs,,,,24.505900677880504,17.0,4.0,56.0,0.14908992177314906,0.3250507024373251,0.6485681140946485,15
252,BYU,fbs,,,,24.961106446654963,17.0,4.0,58.0,0.14776378834314777,0.3206901127243207,0.6408953957036408,16
2294,Iowa,fbs,,,,27.650458997641355,20.0,5.0,62.0,0.10836066828389165,0.2637838880307362,0.5894191482344107,17
228,Clemson,fbs,,,,32.50176377568201,25.0,7.0,70.0,0.06999490119527997,0.19369771859077475,0.5024908849860098,18
2633,Tennessee,fbs,,,,33.61259493130224,26.0,7.0,73.0,0.0709449833581419,0.1911821899913824,0.4894392957889789,19
264,Washington,fbs,,,,33.822988630462184,26.0,7.0,73.0,0.06803414487293197,0.18641368797181362,0.48475635526051525,20
135,Minnesota,fbs,,,,34.11602338257845,28.0,8.0,70.0,0.046680272688968294,0.15409884537023416,0.4651707203187826,21
99,LSU,fbs,,,,36.91779836493674,30.0,8.0,77.0,0.04521864463313566,0.14242237648442727,0.4277350103102832,22
158,Nebraska,fbs,,,,36.92750791739814,31.0,10.0,73.0,0.031189352498808096,0.11456166258756678,0.40488674349570175,23
142,Missouri,fbs,,,,36.956776876740726,31.0,9.0,75.0,0.042666163944716326,0.13377047032789668,0.4169603421101848,24
258,Virginia,fbs,,,,38.270053232510904,32.0,10.0,76.0,0.026201736196218538,0.10460503095227194,0.38807569188545127,25
57,Florida,fbs,,,,38.527758201184945,32.0,9.0,80.0,0.043999589776912006,0.13639211370372722,0.40907637899818183,26
2449,North Dakota State,fbs,,,,40.18154495087115,34.0,9.0,82.0,0.044279487276441334,0.12874529548297103,0.3848568616806933,27
2579,South Carolina,fbs,,,,42.030938572062965,35.0,9.0,87.0,0.04026639510295973,0.12224789196487774,0.3697682590276302,28
248,Houston,fbs,,,,43.69023709999414,37.0,10.0,88.0,0.03199326422019196,0.10476125296562856,0.34279772864705677,29
12,Arizona,fbs,,,,44.276340413337444,38.0,10.0,89.0,0.030277101079939448,0.10066802152179867,0.33508964449032985,30
238,Vanderbilt,fbs,,,,44.48930906409554,38.0,10.0,90.0,0.0347048636488959,0.10823133627267534,0.3405459116809784,31
52,Florida State,fbs,,,,46.33114887130021,42.0,13.0,87.0,0.018731642407021267,0.06936543452122425,0.27728777637014657,32
356,Illinois,fbs,,,,46.49643792756096,42.0,13.0,88.0,0.019507917981030784,0.07144629471546393,0.28189292841111335,33
213,Penn State,fbs,,,,46.57041023118743,40.0,11.0,93.0,0.02794794330197205,0.09252823065890746,0.3118333609766882,34
2306,Kansas State,fbs,,,,46.856831335795995,41.0,11.0,92.0,0.025270640044000002,0.086904604235,0.30418604135599997,35
2567,SMU,fbs,,,,47.52661921736889,41.0,11.0,95.0,0.030505474829877973,0.09589515375561641,0.30962279091576145,36
77,Northwestern,fbs,,,,47.68278313916899,42.0,12.0,93.0,0.022248339076,0.079815108472,0.29168676963100004,37
97,Louisville,fbs,,,,49.52158216426261,44.0,13.0,96.0,0.019641554160098208,0.07200744331836004,0.27194736573135975,38
68,Boise State,fbs,,,,50.206522515989796,45.0,13.0,96.0,0.01736969595898263,0.06626782839993373,0.2610929186117389,39
221,Pittsburgh,fbs,,,,50.88092986834488,46.0,14.0,97.0,0.01685538056301686,0.0643916071550644,0.25510712226925514,40
2116,UCF,fbs,,,,52.3181025995864,49.0,16.0,94.0,0.00908668356183006,0.0451938331415941,0.21815103475326691,41
21,San Diego State,fbs,,,,52.36217631198446,48.0,14.0,99.0,0.015381493692061526,0.05948493827023794,0.2409508368429638,42
2,Auburn,fbs,,,,52.65204920609431,48.0,15.0,98.0,0.013847587068027696,0.055659915361111326,0.23420897994146844,43
2628,TCU,fbs,,,,54.71740014351707,52.0,19.0,96.0,0.00686841841850684,0.03156523973613931,0.17701442335332712,44
265,Washington State,fbs,,,,55.739508274194044,52.0,15.0,103.0,0.013002104734947992,0.05102835168279589,0.21364125005414547,45
349,Army,fbs,,,,55.76059485502783,53.0,17.0,99.0,0.006991987060265414,0.03621871678238002,0.18808551524351336,46
154,Wake Forest,fbs,,,,57.67181673297875,55.0,20.0,100.0,0.005169400213689543,0.026517877820643326,0.15710727315818063,47
183,Syracuse,fbs,,,,58.14649341308703,56.0,18.0,102.0,0.006200237772853322,0.032135122290068055,0.1697726306966613,48
9,Arizona State,fbs,,,,58.19085283787201,55.0,17.0,105.0,0.010537448938,0.043206421918999996,0.191512103251,49
2711,Western Michigan,fbs,,,,58.32685371268066,55.0,16.0,106.0,0.011491498083022984,0.045431834137090864,0.194490883280389,50
275,Wisconsin,fbs,,,,58.8263719420773,56.0,18.0,105.0,0.007997085187031988,0.036350563014145396,0.17812120922871247,51
239,Baylor,fbs,,,,60.000820904235,57.0,18.0,107.0,0.009069545157036278,0.038277103869153103,0.17646438585870586,52
153,North Carolina,fbs,,,,60.28997836446765,58.0,22.0,102.0,0.0031880892019688126,0.01902159613687495,0.13320347033074076,53
344,Mississippi State,fbs,,,,61.776387787857345,60.0,19.0,108.0,0.006568133021960592,0.030505202344816965,0.1561776767050629,54
2655,Tulane,fbs,,,,62.89217845816511,61.0,18.0,112.0,0.010277131383989724,0.03962457831396038,0.16907996918683094,55
150,Duke,fbs,,,,63.396728784626795,62.0,19.0,111.0,0.007740575328015481,0.03289486000706579,0.155504752429311,56
2305,Kansas,fbs,,,,63.58426534601919,62.0,22.0,108.0,0.004815914494339534,0.023160532273422157,0.13214427659223263,57
25,California,fbs,,,,63.67509813953066,62.0,21.0,110.0,0.005790283645988419,0.027335911703945327,0.1438425594357123,58
58,South Florida,fbs,,,,64.32514740032538,63.0,20.0,111.0,0.006502725298986996,0.02904425965994191,0.14522204959970955,59
256,James Madison,fbs,,,,64.60578636762439,64.0,24.0,106.0,0.0031195134535885382,0.016259939791692955,0.10824465693927308,60
66,Iowa State,fbs,,,,64.723568742931,63.0,20.0,112.0,0.00668836228,0.029393160198,0.14479385789,61
98,Western Kentucky,fbs,,,,64.75663909078821,63.0,20.0,112.0,0.00699404444996503,0.03020918736884896,0.14625240602626874,62
120,Maryland,fbs,,,,64.90514485707811,64.0,21.0,111.0,0.005881861672994119,0.027069318593972935,0.1397044332128603,63
127,Michigan State,fbs,,,,64.93862551775861,64.0,25.0,106.0,0.00199951507214153,0.012837322491262943,0.10121381432515805,64
59,Georgia Tech,fbs,,,,65.02127190237476,64.0,25.0,107.0,0.0030299587601209897,0.01561158998169157,0.1056939436508609,65
152,NC State,fbs,,,,65.09842318664421,64.0,25.0,107.0,0.003140728581621009,0.015017034495588623,0.1048707382590645,66
96,Kentucky,fbs,,,,65.77308792464964,65.0,21.0,112.0,0.005339437044032037,0.02512517656015075,0.13322234233179936,67
2636,UTSA,fbs,,,,66.89773801758109,66.0,22.0,114.0,0.005554788052994445,0.02528293462697471,0.13044789646686955,68
259,Virginia Tech,fbs,,,,68.06421154052869,68.0,23.0,114.0,0.004147582750979262,0.0207200850708964,0.11782553525241087,69
