season,cutoff,anchor_family,method,team_id,team_name,subdivision,conference,rated,games_played,eligible_evidence_count,expected_rank,median_rank,mode_rank,interval_50_low,interval_50_high,interval_80_low,interval_80_high,interval_95_low,interval_95_high,top5_probability,top10_probability,top25_probability,interval_50_width,interval_80_width,interval_95_width,week_through_cutoff,display_rank
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,99,LSU,fbs,,True,1,1,21.965730142067592,13,1,5,31,2,55,1,87,0.254734589746529,0.4243537954968233,0.6967727030663995,26,53,86,1,1
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,251,Texas,fbs,,True,1,1,26.333273231961424,18,1,7,38,3,63,1,93,0.19093520435372707,0.3363058628825952,0.6152682017559687,31,60,92,1,2
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2390,Miami,fbs,,True,1,1,27.085312839766434,19,1,8,39,3,64,1,94,0.18061101158302617,0.32226570661783815,0.6021891102952903,31,61,93,1,3
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2579,South Carolina,fbs,,True,1,1,28.837362659387434,21,1,9,42,3,67,1,98,0.16423726491548798,0.2968462911053622,0.5713612935808484,33,64,97,1,4
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,213,Penn State,fbs,,True,1,1,28.869247041109595,21,1,8,42,3,68,1,97,0.1672904084829805,0.3005621444097774,0.5727581640553356,34,65,96,1,5
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,245,Texas A&M,fbs,,True,1,1,29.95969590165514,22,1,9,44,4,69,1,99,0.1561033140186889,0.2837851061938658,0.5534779002399612,35,65,98,1,6
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,221,Pittsburgh,fbs,,True,1,1,31.269335036469734,23,1,10,46,4,72,1,100,0.14629436081423833,0.2682358814585822,0.53286633586736,36,68,99,1,7
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,57,Florida,fbs,,True,1,1,31.774370298308604,24,1,10,47,4,73,1,101,0.14196455924632437,0.26153238422322056,0.5245033533059413,37,69,100,1,8
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,194,Ohio State,fbs,,True,1,1,31.898948573502377,24,1,10,47,4,73,1,102,0.1397543925797877,0.2582411941913353,0.5217992307344792,37,69,101,1,9
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2440,Nevada,fbs,,True,1,1,32.87288452495069,25,1,10,49,4,75,1,103,0.13825576722297941,0.2546945216075128,0.5112285947251799,39,71,102,1,10
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2306,Kansas State,fbs,,True,1,1,33.014191641974456,24,1,10,50,4,75,1,104,0.14372427725583117,0.2690969530800927,0.5221925279071731,40,71,103,1,11
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,333,Alabama,fbs,,True,1,1,33.09949118467324,25,1,11,49,4,75,1,103,0.135064456361687,0.2498002346273343,0.5062275165395155,38,71,102,1,12
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,258,Virginia,fbs,,True,1,1,33.320844485467774,25,1,10,49,4,76,1,104,0.13527022417599274,0.2521674695621306,0.5072250751268702,39,72,103,1,13
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,201,Oklahoma,fbs,,True,1,1,34.11558262838294,26,1,11,50,4,77,1,105,0.12485722897990761,0.2339553569631358,0.4881267384370615,39,73,104,1,14
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,344,Mississippi State,fbs,,True,1,1,34.29315495071921,27,1,11,50,4,77,1,105,0.1237134588136867,0.2320904682137152,0.4851281691837431,39,73,104,1,15
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,30,USC,fbs,,True,2,2,34.610512973052714,29,4,13,51,6,73,2,97,0.09886780379771462,0.1964969316760179,0.4554062713080707,38,67,95,1,16
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,84,Indiana,fbs,,True,1,1,35.587903560298145,28,1,12,53,5,79,1,106,0.11951526693802265,0.22429625796357117,0.46964113235826827,41,74,105,1,17
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,349,Army,fbs,,True,1,1,36.01764043351575,28,1,11,54,5,80,1,107,0.12143070133233727,0.23128595450963566,0.47390791023864487,43,75,106,1,18
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2348,Louisiana Tech,fbs,,True,1,1,36.612810998389165,28,1,11,56,4,82,1,109,0.12526016361115097,0.23672137757128126,0.4724321907717987,45,78,108,1,19
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2294,Iowa,fbs,,True,1,1,37.80274791864432,31,1,13,56,5,83,2,108,0.10434339384257929,0.19951249639152135,0.43524935128259884,43,78,106,1,20
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,26,UCLA,fbs,,True,1,1,38.33683191880091,31,1,13,57,5,84,2,109,0.1028917030802175,0.19788034036969365,0.4316638147544256,44,79,107,1,21
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,259,Virginia Tech,fbs,,True,1,1,38.91170217817569,32,1,12,59,5,85,2,111,0.11188531849507019,0.21350448740969075,0.4395519682120803,47,80,109,1,22
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,9,Arizona State,fbs,,True,1,1,39.04071064091947,32,1,13,59,5,86,2,112,0.10984759785278278,0.2101317869680958,0.436838894573596,46,81,110,1,23
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2116,UCF,fbs,,True,1,1,39.812854862561906,33,1,13,61,5,87,2,113,0.10792818087720232,0.2063048757499176,0.42846300885863636,48,82,111,1,24
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,183,Syracuse,fbs,,True,1,1,40.7686395974928,34,1,14,62,5,88,2,114,0.1019257357992723,0.19597845131304026,0.4145400426885652,48,83,112,1,25
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2449,North Dakota State,fbs,,True,2,2,41.281505703209795,36,14,18,60,8,84,2,106,0.07076361945472999,0.14391125408590352,0.3638551894382945,42,76,104,1,26
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,135,Minnesota,fbs,,True,1,1,41.66088619336431,35,1,15,63,6,89,2,114,0.09350368171381329,0.18167729464285287,0.397829745837625,48,83,112,1,27
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,158,Nebraska,fbs,,True,1,1,41.67857259063065,35,1,16,62,6,88,2,113,0.08710186054773869,0.17011872950063384,0.3871168761924683,46,82,111,1,28
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,167,New Mexico,fbs,,True,1,1,42.02132848932467,35,1,16,63,6,89,2,113,0.08486131905883831,0.16601617020276327,0.38103536944375394,47,83,111,1,29
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,61,Georgia,fbs,,True,1,1,42.318687818728336,36,1,15,64,6,91,2,116,0.09468873583164672,0.18306786786131946,0.39483376845068674,49,85,114,1,30
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,113,Massachusetts,fbs,,True,1,1,42.389408576897004,36,4,16,63,7,89,2,114,0.08274044961451485,0.16402530281760644,0.37883576709774297,47,82,112,1,31
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,120,Maryland,fbs,,True,1,1,42.53038483256511,36,1,15,64,6,91,2,116,0.09527109848384527,0.1837558796135987,0.39404960118937205,49,85,114,1,32
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2026,App State,fbs,,True,1,1,44.31165801140307,38,1,16,66,7,93,2,117,0.08351880604909026,0.16341073847171858,0.3668219060022001,50,86,115,1,33
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,68,Boise State,fbs,,True,1,1,46.83962853833184,41,10,18,70,8,96,3,120,0.06482800490295822,0.13723329353733224,0.33930191680106453,52,88,117,1,34
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,254,Utah,fbs,,True,1,1,46.88093523301588,41,1,18,70,7,97,2,120,0.0752805447207976,0.14808635409701115,0.3394190935919646,52,90,118,1,35
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2711,Western Michigan,fbs,,True,1,1,47.62233852746485,42,12,20,70,9,96,3,119,0.05775322237269182,0.12304753717348925,0.3172086883140399,50,87,116,1,36
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,235,Memphis,fbs,,True,2,2,48.13477597987345,44,28,24,69,12,90,4,110,0.035975412111669186,0.0838353362304104,0.263624190251087,45,78,106,1,37
