evaluation_protocol,season,subdivision,team_id,team_name,c_full_nll,c_minus_rp_nll,rp_contribution_nll,c_full_crps,c_minus_rp_crps,rp_contribution_crps,prediction_source
frozen_through_2021,2022,fbs,103,Boston College,4.988416435909931,4.965825873887268,-0.022590562022663185,0.206643994241036,0.20381736735534026,-0.0028266268856957377,context_model
frozen_through_2021,2022,fbs,113,Massachusetts,2.7893032468145726,2.5083673090928156,-0.28093593772175707,0.03724497709407312,0.03110795808185426,-0.006137019012218862,context_model
frozen_through_2021,2022,fbs,12,Arizona,4.815389729062993,4.7281651696071405,-0.08722455945585228,0.10662791150142535,0.09102835706973213,-0.015599554431693224,context_model
frozen_through_2021,2022,fbs,120,Maryland,4.392780878255158,4.420806291994793,0.028025413739634963,0.07826763987380556,0.08284895995732229,0.004581320083516735,context_model
frozen_through_2021,2022,fbs,127,Michigan State,5.4688832310662905,5.361289084665545,-0.1075941464007455,0.20017034485613525,0.18714874687661334,-0.013021597979521904,context_model
frozen_through_2021,2022,fbs,130,Michigan,2.3859922896652583,2.6111781452702028,0.22518585560494442,0.023379658688790207,0.032976878602543176,0.00959721991375297,context_model
frozen_through_2021,2022,fbs,135,Minnesota,4.2036802235064865,4.2536154477351005,0.04993522422861396,0.05131424659146073,0.06510890669733417,0.013794660105873442,context_model
frozen_through_2021,2022,fbs,142,Missouri,4.579346729216468,4.587484095265392,0.008137366048924122,0.07282925315108975,0.07017198284324724,-0.0026572703078425047,context_model
frozen_through_2021,2022,fbs,145,Ole Miss,4.322629781404671,4.159111337078426,-0.16351844432624496,0.09159999867997352,0.047956851609339365,-0.04364314707063416,context_model
frozen_through_2021,2022,fbs,150,Duke,5.837661232666025,5.4392555321611,-0.39840570050492463,0.3070415404251931,0.2507171651481136,-0.05632437527707951,context_model
frozen_through_2021,2022,fbs,151,East Carolina,4.64426516269969,4.680113608832099,0.035848446132408895,0.0806153493008146,0.08637289452329085,0.0057575452224762486,context_model
frozen_through_2021,2022,fbs,152,NC State,4.431900367332098,4.437405336152017,0.005504968819919576,0.06071739873904767,0.06126702185181731,0.0005496231127696399,context_model
frozen_through_2021,2022,fbs,153,North Carolina,4.486234851321755,4.497934734029796,0.01169988270804101,0.07104542923061186,0.0691144518322679,-0.0019309773983439554,context_model
frozen_through_2021,2022,fbs,154,Wake Forest,4.328179511749721,4.351215311416391,0.02303579966666991,0.05496779020055475,0.06053764525808671,0.005569855057531964,context_model
frozen_through_2021,2022,fbs,158,Nebraska,4.642495518824708,4.712072074782096,0.06957655595738821,0.09974292553885027,0.11338621633371768,0.01364329079486741,context_model
frozen_through_2021,2022,fbs,164,Rutgers,4.669378469260362,4.708196538626193,0.03881806936583043,0.13213233931741544,0.1389556583219146,0.006823319004499145,context_model
frozen_through_2021,2022,fbs,166,New Mexico State,4.607395716687975,4.329543476020428,-0.27785224066754743,0.08128650293465177,0.06321724734201482,-0.018069255592636946,context_model
frozen_through_2021,2022,fbs,167,New Mexico,3.455785821490392,3.939555160903918,0.4837693394135263,0.07716239992586499,0.11116824559941274,0.03400584567354775,context_model
frozen_through_2021,2022,fbs,183,Syracuse,4.6584879349693376,4.669091425539165,0.010603490569827123,0.09696136385286991,0.09796979610467463,0.0010084322518047195,context_model
frozen_through_2021,2022,fbs,189,Bowling Green,4.285289628724212,4.170527669967486,-0.11476195875672612,0.08381871989790897,0.061509029814895255,-0.022309690083013714,context_model
frozen_through_2021,2022,fbs,193,Miami (OH),4.585227911687744,4.583985251644074,-0.0012426600436699076,0.13528275325974534,0.13372554156505814,-0.0015572116946871994,context_model
frozen_through_2021,2022,fbs,194,Ohio State,2.396300047401878,2.4604517856790418,0.0641517382771637,0.014751388854319494,0.018076250437177577,0.003324861582858083,context_model
frozen_through_2021,2022,fbs,195,Ohio,5.903535067410542,5.493190453364662,-0.4103446140458802,0.2586819246016297,0.21213859235240426,-0.04654333224922544,context_model
frozen_through_2021,2022,fbs,197,Oklahoma State,6.353481433263874,5.718834087792656,-0.634647345471218,0.2473504127000503,0.20289179310897515,-0.04445861959107514,context_model
frozen_through_2021,2022,fbs,2,Auburn,4.577954590635438,4.619301212563397,0.04134662192795879,0.07274288461500691,0.07711024536804342,0.004367360753036509,context_model
frozen_through_2021,2022,fbs,2005,Air Force,4.561264370697617,4.5725738154612925,0.011309444763675458,0.08035643198667346,0.08020326183007517,-0.00015317015659828404,context_model
frozen_through_2021,2022,fbs,2006,Akron,2.8181537912348706,2.9833847573931176,0.16523096615824695,0.01785124830440814,0.030400577020944897,0.012549328716536755,context_model
frozen_through_2021,2022,fbs,201,Oklahoma,4.9098768800033366,5.244291992463801,0.33441511246046485,0.12401881718456424,0.15523715054605366,0.031218333361489423,context_model
frozen_through_2021,2022,fbs,202,Tulsa,4.478566149281558,4.485520119952212,0.006953970670654286,0.06118293514339639,0.06286537403944782,0.0016824388960514289,context_model
frozen_through_2021,2022,fbs,2026,App State,4.7192433761211605,4.867788487623464,0.14854511150230376,0.10070683937197296,0.12931274394407724,0.028605904572104282,context_model
frozen_through_2021,2022,fbs,2032,Arkansas State,3.570637197270325,3.820093353139459,0.24945615586913394,0.03987023217210579,0.07534486265633439,0.035474630484228595,context_model
frozen_through_2021,2022,fbs,204,Oregon State,4.762594999276164,4.772374520680487,0.009779521404323255,0.19986894309157224,0.20272185588955446,0.002852912797982221,context_model
frozen_through_2021,2022,fbs,2050,Ball State,4.275411720626352,4.367046663698226,0.09163494307187392,0.0750088226364717,0.09243379841322279,0.01742497577675109,context_model
frozen_through_2021,2022,fbs,2084,Buffalo,4.7643663819183955,4.697466371027724,-0.06690001089067188,0.09139154597948518,0.08057994848600106,-0.01081159749348412,context_model
frozen_through_2021,2022,fbs,21,San Diego State,4.809604746532564,4.988837880656439,0.17923313412387465,0.11976185902184694,0.15580889187062494,0.036047032848778,context_model
frozen_through_2021,2022,fbs,2116,UCF,4.577417375907428,4.5885199437493895,0.011102567841961175,0.08333506463034811,0.08246421246805183,-0.0008708521622962789,context_model
frozen_through_2021,2022,fbs,2117,Central Michigan,4.761096975984965,4.72656944800299,-0.034527527981975226,0.19484550948086238,0.1906555199402758,-0.004189989540586581,context_model
frozen_through_2021,2022,fbs,213,Penn State,3.370036187763468,3.4641433985323395,0.09410721076887141,0.06508410325219617,0.07429526529867013,0.009211162046473959,context_model
frozen_through_2021,2022,fbs,2132,Cincinnati,4.54009306224287,4.625980460810363,0.08588739856749328,0.06387821624507223,0.07181844570732171,0.007940229462249482,context_model
frozen_through_2021,2022,fbs,218,Temple,3.8290188316290408,3.800809311934471,-0.028209519694569973,0.06374139507060875,0.059071958108485534,-0.0046694369621232135,context_model
frozen_through_2021,2022,fbs,2199,Eastern Michigan,4.696646965643165,4.713305596022558,0.016658630379392747,0.0885441415388126,0.0889780361944834,0.00043389465567079954,context_model
frozen_through_2021,2022,fbs,221,Pittsburgh,4.334197702835496,4.2562286643823,-0.0779690384531957,0.07790203097646933,0.05412941744236467,-0.02377261353410466,context_model
frozen_through_2021,2022,fbs,2226,Florida Atlantic,4.409319810572712,4.464732499707763,0.05541268913505082,0.058281722731555775,0.0608025509591983,0.0025208282276425256,context_model
frozen_through_2021,2022,fbs,2229,Florida International,2.8600868452964407,2.962634350853435,0.10254750555699443,0.025309257529751043,0.02963600673464839,0.004326749204897347,context_model
frozen_through_2021,2022,fbs,2247,Georgia State,4.634551078454543,4.548638056383521,-0.08591302207102203,0.11777471484975637,0.09553472564763536,-0.022239989202121002,context_model
frozen_through_2021,2022,fbs,228,Clemson,3.463358069778686,3.4835051665768675,0.020147096798181607,0.026776602452953522,0.025584296485537266,-0.0011923059674162559,context_model
frozen_through_2021,2022,fbs,2294,Iowa,4.572159561765015,4.4150496954017,-0.15710986636331548,0.07806322244533316,0.06380868864739456,-0.014254533797938604,context_model
frozen_through_2021,2022,fbs,23,San José State,4.613916751029001,4.634450568886652,0.020533817857650405,0.07064783588381567,0.07146191651849461,0.0008140806346789431,context_model
frozen_through_2021,2022,fbs,2305,Kansas,5.2979267487988935,5.317047621685881,0.019120872886987605,0.20551512060254218,0.20847767754165575,0.0029625569391135698,context_model
frozen_through_2021,2022,fbs,2306,Kansas State,4.396011262642866,4.325425564850544,-0.07058569779232204,0.15993721002645062,0.15240798539877362,-0.007529224627676995,context_model
frozen_through_2021,2022,fbs,2309,Kent State,4.540313669402206,4.523683667863546,-0.01663000153866001,0.06535717690681207,0.06264006459075637,-0.002717112316055703,context_model
frozen_through_2021,2022,fbs,2335,Liberty,4.720286287992946,4.680580898068789,-0.03970538992415662,0.08768217945474266,0.07914669993757185,-0.008535479517170805,context_model
frozen_through_2021,2022,fbs,2348,Louisiana Tech,3.7787147634849547,4.01283750736701,0.23412274388205523,0.08248402758119205,0.11374107377271135,0.0312570461915193,context_model
frozen_through_2021,2022,fbs,235,Memphis,4.663051485952215,4.690667261572094,0.02761577561987938,0.07625972595454471,0.07885743543716002,0.0025977094826153124,context_model
frozen_through_2021,2022,fbs,238,Vanderbilt,4.746419157399996,4.694969842674899,-0.05144931472509651,0.09882758641944692,0.08987062970034543,-0.008956956719101489,context_model
frozen_through_2021,2022,fbs,239,Baylor,4.729644102057591,5.068163990438674,0.33851988838108316,0.0987921275877888,0.14239555764950357,0.04360343006171477,context_model
frozen_through_2021,2022,fbs,2390,Miami,5.401299983171559,5.395625265425672,-0.00567471774588757,0.23020844903647383,0.22976787391762454,-0.0004405751188492901,context_model
frozen_through_2021,2022,fbs,2393,Middle Tennessee,4.536406133450012,4.5465182963852495,0.010112162935237201,0.0734921291632471,0.07369740943291332,0.00020528026966622204,context_model
frozen_through_2021,2022,fbs,24,Stanford,4.685221400820562,4.541335639471607,-0.1438857613489546,0.12111981362667702,0.08999526602008076,-0.031124547606596262,context_model
frozen_through_2021,2022,fbs,242,Rice,3.9549660571448624,4.035348318894008,0.08038226174914564,0.04494759220714597,0.0616117427699446,0.01666415056279863,context_model
frozen_through_2021,2022,fbs,2426,Navy,4.880804478062718,4.615480474393347,-0.26532400366937114,0.1139555015009754,0.08133962110648663,-0.032615880394488775,context_model
