team_id,team_name,subdivision,conference,record_through_cutoff,movement_from_previous,expected_rank,median_rank,interval_80_low,interval_80_high,top5_probability,top10_probability,top25_probability,display_rank
194,Ohio State,fbs,,,,5.682066996738253,4.0,1.0,12.0,0.6450040043819544,0.8683589868819243,0.987379407616996,1
61,Georgia,fbs,,,,6.302380839262719,4.0,1.0,13.0,0.6055169264887652,0.8392539736143259,0.9810173960890712,2
84,Indiana,fbs,,,,6.728047946058752,5.0,2.0,14.0,0.5686890298795924,0.8227380862595419,0.9785462166789703,3
2390,Miami,fbs,,,,7.408314824197772,6.0,2.0,15.0,0.4993476319664659,0.7860660565772442,0.9778669620690177,4
251,Texas,fbs,,,,7.55669058706027,5.0,2.0,16.0,0.5028587595037624,0.7800624235687925,0.9727466455025067,5
99,LSU,fbs,,,,7.858399035922938,6.0,2.0,16.0,0.4719669941795287,0.7698503107697402,0.9717243257144313,6
2483,Oregon,fbs,,,,8.135912004363997,5.0,1.0,18.0,0.5090456869253543,0.7489650914960448,0.9559837779060291,7
245,Texas A&M,fbs,,,,8.731265469535833,6.0,2.0,18.0,0.4205958741387195,0.7262328798711724,0.960604602974577,8
87,Notre Dame,fbs,,,,8.76933780389914,6.0,2.0,18.0,0.43922069735168207,0.7240215691707996,0.9551862936258095,9
333,Alabama,fbs,,,,10.374657204394335,8.0,3.0,21.0,0.33363051581278985,0.6434370659313691,0.9381544246431038,10
258,Virginia,fbs,,,,12.89631526418877,9.0,3.0,27.0,0.2545616811828526,0.5514147339606874,0.8914313762910043,11
57,Florida,fbs,,,,13.704205561764683,10.0,3.0,29.0,0.2358456019117649,0.5124465506684754,0.8733936619742108,12
254,Utah,fbs,,,,13.79122294542089,10.0,3.0,29.0,0.25001027556214805,0.5179565287292914,0.8672123377494981,13
145,Ole Miss,fbs,,,,14.563561868103989,10.0,3.0,32.0,0.27217966659472054,0.5083299600839767,0.8384338833825705,14
201,Oklahoma,fbs,,,,15.31881436378463,12.0,4.0,32.0,0.19615807102155314,0.44669928757168087,0.8359733897120495,15
2633,Tennessee,fbs,,,,15.60734791227386,12.0,4.0,33.0,0.2013706672318943,0.4555399260894007,0.8307014059880793,16
