season,subdivision,team_id,team_name,existing_aggregate_status,all_position_groups_observed,dl_edge_status,lb_status,db_status,existing_aggregate_impact,position_group_impact_sum,delta_position_sum_minus_aggregate,parity_passed,explanation
2021,fbs,103,Boston College,partial,False,complete,unresolved,unresolved,,,,,not compared: at least one group unresolved
2021,fbs,113,Massachusetts,complete,True,no_incoming_transfer_group,no_incoming_transfer_group,complete,-1.3314290761626426,-1.3314290761626426,0.0,True,compared: all three groups observed
2021,fbs,12,Arizona,partial,False,unresolved,unresolved,complete,,,,,not compared: at least one group unresolved
2021,fbs,120,Maryland,no_incoming_defensive_transfer,True,no_incoming_transfer_group,no_incoming_transfer_group,no_incoming_transfer_group,0.0,0.0,0.0,True,compared: all three groups observed
2021,fbs,127,Michigan State,complete,True,no_incoming_transfer_group,complete,complete,-1.7994973868660682,-1.7994973868660682,0.0,True,compared: all three groups observed
2021,fbs,130,Michigan,complete,True,complete,complete,no_incoming_transfer_group,-0.47283473216672384,-0.47283473216672384,0.0,True,compared: all three groups observed
2021,fbs,135,Minnesota,partial,False,complete,unresolved,no_incoming_transfer_group,,,,,not compared: at least one group unresolved
2021,fbs,142,Missouri,partial,False,no_incoming_transfer_group,complete,unresolved,,,,,not compared: at least one group unresolved
2021,fbs,145,Ole Miss,complete,True,no_incoming_transfer_group,complete,complete,0.5000481956130273,0.5000481956130273,0.0,True,compared: all three groups observed
2021,fbs,150,Duke,partial,False,complete,unresolved,complete,,,,,not compared: at least one group unresolved
2021,fbs,151,East Carolina,partial,False,complete,unresolved,unresolved,,,,,not compared: at least one group unresolved
2021,fbs,152,NC State,partial,False,complete,no_incoming_transfer_group,unresolved,,,,,not compared: at least one group unresolved
2021,fbs,153,North Carolina,no_incoming_defensive_transfer,True,no_incoming_transfer_group,no_incoming_transfer_group,no_incoming_transfer_group,0.0,0.0,0.0,True,compared: all three groups observed
2021,fbs,154,Wake Forest,partial,False,complete,no_incoming_transfer_group,unresolved,,,,,not compared: at least one group unresolved
2021,fbs,158,Nebraska,partial,False,no_incoming_transfer_group,unresolved,complete,,,,,not compared: at least one group unresolved
2021,fbs,164,Rutgers,complete,True,complete,no_incoming_transfer_group,complete,1.313106467074662,1.313106467074662,0.0,True,compared: all three groups observed
2021,fbs,166,New Mexico State,no_incoming_defensive_transfer,True,no_incoming_transfer_group,no_incoming_transfer_group,no_incoming_transfer_group,0.0,0.0,0.0,True,compared: all three groups observed
2021,fbs,167,New Mexico,complete,True,no_incoming_transfer_group,complete,no_incoming_transfer_group,-0.6038651056463974,-0.6038651056463974,0.0,True,compared: all three groups observed
2021,fbs,183,Syracuse,no_usable_defensive_transfer,False,no_incoming_transfer_group,unresolved,no_incoming_transfer_group,,,,,not compared: at least one group unresolved
2021,fbs,189,Bowling Green,partial,False,unresolved,no_incoming_transfer_group,complete,,,,,not compared: at least one group unresolved
2021,fbs,193,Miami (OH),complete,True,no_incoming_transfer_group,no_incoming_transfer_group,complete,-0.6657145380813213,-0.6657145380813213,0.0,True,compared: all three groups observed
2021,fbs,194,Ohio State,no_incoming_defensive_transfer,True,no_incoming_transfer_group,no_incoming_transfer_group,no_incoming_transfer_group,0.0,0.0,0.0,True,compared: all three groups observed
2021,fbs,195,Ohio,no_incoming_defensive_transfer,True,no_incoming_transfer_group,no_incoming_transfer_group,no_incoming_transfer_group,0.0,0.0,0.0,True,compared: all three groups observed
2021,fbs,197,Oklahoma State,complete,True,no_incoming_transfer_group,no_incoming_transfer_group,complete,1.0331605768677277,1.0331605768677277,0.0,True,compared: all three groups observed
2021,fbs,2,Auburn,partial,False,unresolved,no_incoming_transfer_group,unresolved,,,,,not compared: at least one group unresolved
2021,fbs,2005,Air Force,complete,True,complete,complete,no_incoming_transfer_group,1.190596809016264,1.190596809016264,0.0,True,compared: all three groups observed
2021,fbs,2006,Akron,complete,True,no_incoming_transfer_group,complete,no_incoming_transfer_group,-0.6038651056463974,-0.6038651056463974,0.0,True,compared: all three groups observed
2021,fbs,201,Oklahoma,partial,False,unresolved,no_incoming_transfer_group,complete,,,,,not compared: at least one group unresolved
2021,fbs,202,Tulsa,complete,True,no_incoming_transfer_group,complete,no_incoming_transfer_group,1.1829291799916333,1.1829291799916333,0.0,True,compared: all three groups observed
2021,fbs,2026,App State,partial,False,no_incoming_transfer_group,no_incoming_transfer_group,unresolved,,,,,not compared: at least one group unresolved
